condition,turn_index,mean,count,std
jtc / calibrated,1,44.78333333333333,60,14.559162374242138
jtc / calibrated,2,57.68333333333333,60,10.210482593994268
jtc / calibrated,3,64.55932203389831,59,17.70473459610858
jtc / calibrated,4,63.28947368421053,38,12.854503669156964
jtc / calibrated,5,72.72972972972973,37,11.439815093320755
jtc / calibrated,6,73.75,24,8.842830552142965
jtc / miscalibrated,1,43.28333333333333,60,14.78557664875328
jtc / miscalibrated,2,61.9,60,17.157989689048406
jtc / miscalibrated,3,50.97435897435897,39,9.606705934938253
jtc / miscalibrated,4,58.525,40,7.932366349169451
jtc / miscalibrated,5,69.7948717948718,39,8.870944550608634
jtc / miscalibrated,6,74.48275862068965,29,7.2290124283788
nonjtc / calibrated,1,22.7,60,13.342045176490949
nonjtc / calibrated,2,34.15,60,10.788922441913607
nonjtc / calibrated,3,45.56666666666667,60,10.009091912054501
nonjtc / calibrated,4,61.483333333333334,60,11.85290019100191
nonjtc / calibrated,5,69.52830188679245,53,10.294890019932042
nonjtc / calibrated,6,72.825,40,5.969527318829894
nonjtc / miscalibrated,1,21.466666666666665,60,11.030722376988376
nonjtc / miscalibrated,2,38.083333333333336,60,13.373755816253276
nonjtc / miscalibrated,3,49.5,60,11.6378983483317
nonjtc / miscalibrated,4,64.38333333333334,60,15.918320823915671
nonjtc / miscalibrated,5,65.53488372093024,43,10.828421239210094
nonjtc / miscalibrated,6,69.97222222222223,36,7.564904346902064
