file,model,agent_type,reassurance_type,sequence,turn_index,confidence,accuracy,toc_turn,condition
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,1,20.0,1.0,6,jtc / calibrated
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,2,35.0,1.0,6,jtc / calibrated
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,3,40.0,1.0,6,jtc / calibrated
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,4,45.0,1.0,6,jtc / calibrated
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,5,55.0,1.0,6,jtc / calibrated
2026-04-17T22-54-30__x_ai_grok_4_fast__jtc__calibrated__sequence_2__rep9.json,x-ai/grok-4-fast,jtc,calibrated,sequence_2,6,70.0,1.0,6,jtc / calibrated
2026-04-17T22-48-37__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,1,50.0,1.0,5,jtc / calibrated
2026-04-17T22-48-37__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,2,55.0,1.0,5,jtc / calibrated
2026-04-17T22-48-37__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,3,60.0,1.0,5,jtc / calibrated
2026-04-17T22-48-37__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,4,70.0,1.0,5,jtc / calibrated
2026-04-17T22-48-37__x_ai_grok_4_fast__jtc__calibrated__sequence_1__rep6.json,x-ai/grok-4-fast,jtc,calibrated,sequence_1,5,80.0,1.0,5,jtc / calibrated
2026-04-17T22-29-45__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,1,35.0,,6,jtc / miscalibrated
2026-04-17T22-29-45__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,2,55.0,,6,jtc / miscalibrated
2026-04-17T22-29-45__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,3,45.0,,6,jtc / miscalibrated
2026-04-17T22-29-45__anthropic_claude_opus_4_6__jtc__miscalibrated__sequence_2__rep10.json,anthropic/claude-opus-4.6,jtc,miscalibrated,sequence_2,4,45.0,,6,jtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,1,18.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,2,30.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,3,58.0,1.0,4,nonjtc / miscalibrated
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,openai/gpt-5.4,nonjtc,miscalibrated,sequence_1,4,86.0,1.0,4,nonjtc / miscalibrated
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,1,45.0,1.0,6,jtc / calibrated
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,2,55.0,1.0,6,jtc / calibrated
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,3,45.0,1.0,6,jtc / calibrated
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,4,55.0,1.0,6,jtc / calibrated
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,5,65.0,1.0,6,jtc / calibrated
2026-04-17T22-20-55__anthropic_claude_opus_4_6__jtc__calibrated__sequence_2__rep8.json,anthropic/claude-opus-4.6,jtc,calibrated,sequence_2,6,72.0,1.0,6,jtc / calibrated
2026-04-17T23-01-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,1,50.0,1.0,5,jtc / miscalibrated
2026-04-17T23-01-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,2,50.0,1.0,5,jtc / miscalibrated
2026-04-17T23-01-16__x_ai_grok_4_fast__jtc__miscalibrated__sequence_2__rep4.json,x-ai/grok-4-fast,jtc,miscalibrated,sequence_2,3,60.0,1.0,5,jtc / miscalibrated
