condition,sequence,toc_turn,mean,count
jtc / calibrated,sequence_1,3,1.0,10
jtc / calibrated,sequence_2,2,0.0,1
jtc / calibrated,sequence_2,3,0.7777777777777778,9
jtc / miscalibrated,sequence_1,2,1.0,10
jtc / miscalibrated,sequence_2,2,0.1111111111111111,9
jtc / miscalibrated,sequence_2,3,1.0,1
nonjtc / calibrated,sequence_1,5,1.0,10
nonjtc / calibrated,sequence_2,4,1.0,7
nonjtc / calibrated,sequence_2,5,1.0,3
nonjtc / miscalibrated,sequence_1,4,1.0,8
nonjtc / miscalibrated,sequence_1,5,1.0,2
nonjtc / miscalibrated,sequence_2,4,1.0,9
nonjtc / miscalibrated,sequence_2,5,1.0,1
