file,condition,agent_type,reassurance_type,sequence,confidence_t1,confidence_t2,early_gain,volatility,toc,accuracy
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,30.0,12.0,22.666666666666668,4,1
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,84.0,26.0,26.0,2,0
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,52.0,58.0,6.0,10.666666666666666,4,1
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,67.0,9.0,12.0,3,1
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,jtc / calibrated,jtc,calibrated,sequence_1,52.0,68.0,16.0,17.0,3,1
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,55.0,82.0,27.0,27.0,2,1
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,jtc / calibrated,jtc,calibrated,sequence_2,62.0,68.0,6.0,11.0,3,1
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,83.0,25.0,25.0,2,0
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,38.0,20.0,22.0,4,1
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,34.0,16.0,21.666666666666668,4,1
2026-04-17T23-21-10__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep5.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,83.0,25.0,25.0,2,0
2026-04-17T23-17-57__openai_gpt_5_4__jtc__calibrated__sequence_1__rep5.json,jtc / calibrated,jtc,calibrated,sequence_1,62.0,74.0,12.0,13.0,3,1
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,38.0,20.0,17.0,5,1
2026-04-17T23-17-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep2.json,jtc / calibrated,jtc,calibrated,sequence_1,55.0,72.0,17.0,16.5,3,1
2026-04-17T23-19-21__openai_gpt_5_4__jtc__calibrated__sequence_2__rep6.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,64.0,6.0,13.0,3,1
2026-04-17T23-28-53__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep7.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,14.0,28.0,14.0,23.333333333333332,4,1
2026-04-17T23-20-01__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep2.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,58.0,84.0,26.0,26.0,2,1
2026-04-17T23-23-19__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep8.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,36.0,18.0,17.5,5,1
2026-04-17T23-18-11__openai_gpt_5_4__jtc__calibrated__sequence_1__rep7.json,jtc / calibrated,jtc,calibrated,sequence_1,55.0,68.0,13.0,15.5,3,1
2026-04-17T23-20-55__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep2.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,84.0,26.0,26.0,2,0
2026-04-17T23-20-05__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep3.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,22.0,68.0,46.0,46.0,2,1
2026-04-17T23-19-29__openai_gpt_5_4__jtc__calibrated__sequence_2__rep7.json,jtc / calibrated,jtc,calibrated,sequence_2,60.0,68.0,8.0,11.5,3,1
2026-04-17T23-19-38__openai_gpt_5_4__jtc__calibrated__sequence_2__rep8.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,68.0,10.0,13.0,3,1
2026-04-17T23-26-09__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep2.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-18-35__openai_gpt_5_4__jtc__calibrated__sequence_1__rep10.json,jtc / calibrated,jtc,calibrated,sequence_1,55.0,72.0,17.0,16.5,3,1
2026-04-17T23-23-33__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep9.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,38.0,20.0,17.5,5,1
2026-04-17T23-20-59__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep3.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,58.0,84.0,26.0,26.0,2,0
2026-04-17T23-17-28__openai_gpt_5_4__jtc__calibrated__sequence_1__rep1.json,jtc / calibrated,jtc,calibrated,sequence_1,58.0,67.0,9.0,14.0,3,1
2026-04-17T23-19-51__openai_gpt_5_4__jtc__calibrated__sequence_2__rep10.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,64.0,6.0,13.0,3,0
2026-04-17T23-25-45__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep10.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,42.0,24.0,22.666666666666668,4,1
2026-04-17T23-20-10__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep4.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,58.0,82.0,24.0,24.0,2,1
2026-04-17T23-22-40__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep5.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,34.0,16.0,16.5,5,1
2026-04-17T23-21-05__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep4.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,61.0,83.0,22.0,22.0,2,0
2026-04-17T23-27-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep10.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-20-15__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep5.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,58.0,84.0,26.0,26.0,2,1
2026-04-17T23-19-13__openai_gpt_5_4__jtc__calibrated__sequence_2__rep5.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,66.0,8.0,13.0,3,1
2026-04-17T23-26-55__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep6.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,62.0,44.0,26.0,5,1
2026-04-17T23-24-29__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep4.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,28.0,10.0,22.0,4,1
2026-04-17T23-25-00__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep6.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,18.0,30.0,12.0,16.5,5,1
2026-04-17T23-24-08__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep2.json,nonjtc / calibrated,nonjtc,calibrated,sequence_2,52.0,56.0,4.0,10.333333333333334,4,1
2026-04-17T23-28-13__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep3.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,62.0,44.0,24.0,4,1
2026-04-17T23-20-36__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep9.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,55.0,84.0,29.0,29.0,2,1
2026-04-17T23-25-58__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep1.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-28-22__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep4.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,58.0,40.0,23.666666666666668,4,1
2026-04-17T23-19-56__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep1.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,58.0,84.0,26.0,26.0,2,1
2026-04-17T23-28-03__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep2.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,58.0,40.0,22.666666666666668,4,1
2026-04-17T23-17-42__openai_gpt_5_4__jtc__calibrated__sequence_1__rep3.json,jtc / calibrated,jtc,calibrated,sequence_1,53.0,68.0,15.0,16.5,3,1
2026-04-17T23-22-25__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep4.json,nonjtc / calibrated,nonjtc,calibrated,sequence_1,18.0,34.0,16.0,16.5,5,1
2026-04-17T23-17-50__openai_gpt_5_4__jtc__calibrated__sequence_1__rep4.json,jtc / calibrated,jtc,calibrated,sequence_1,52.0,64.0,12.0,16.0,3,1
2026-04-17T23-19-43__openai_gpt_5_4__jtc__calibrated__sequence_2__rep9.json,jtc / calibrated,jtc,calibrated,sequence_2,58.0,68.0,10.0,10.0,2,0
2026-04-17T23-26-42__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep5.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,62.0,44.0,31.0,4,1
2026-04-17T23-20-40__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep10.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,18.0,82.0,64.0,64.0,2,1
2026-04-17T23-20-21__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep6.json,jtc / miscalibrated,jtc,miscalibrated,sequence_1,58.0,84.0,26.0,26.0,2,1
2026-04-17T23-26-32__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep4.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,20.0,58.0,38.0,23.5,5,1
2026-04-17T23-29-15__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep9.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,32.0,14.0,22.0,4,1
2026-04-17T23-29-27__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep10.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_2,18.0,30.0,12.0,17.0,5,1
2026-04-17T23-21-19__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep7.json,jtc / miscalibrated,jtc,miscalibrated,sequence_2,62.0,84.0,22.0,22.0,2,0
2026-04-17T23-27-07__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep7.json,nonjtc / miscalibrated,nonjtc,miscalibrated,sequence_1,18.0,62.0,44.0,33.0,4,1
