file,agent_type,reassurance_type,condition,confidence_t2,toc,accuracy
2026-04-17T23-27-19__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep8.json,nonjtc,miscalibrated,nonjtc / miscalibrated,30.0,4.0,1.0
2026-04-17T23-21-24__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep8.json,jtc,miscalibrated,jtc / miscalibrated,84.0,2.0,0.0
2026-04-17T23-24-18__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep3.json,nonjtc,calibrated,nonjtc / calibrated,58.0,4.0,1.0
2026-04-17T23-26-20__openai_gpt_5_4__nonjtc__miscalibrated__sequence_1__rep3.json,nonjtc,miscalibrated,nonjtc / miscalibrated,32.0,4.0,1.0
2026-04-17T23-19-05__openai_gpt_5_4__jtc__calibrated__sequence_2__rep4.json,jtc,calibrated,jtc / calibrated,67.0,3.0,1.0
2026-04-17T23-18-18__openai_gpt_5_4__jtc__calibrated__sequence_1__rep8.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-20-31__openai_gpt_5_4__jtc__miscalibrated__sequence_1__rep8.json,jtc,miscalibrated,jtc / miscalibrated,82.0,2.0,1.0
2026-04-17T23-18-58__openai_gpt_5_4__jtc__calibrated__sequence_2__rep3.json,jtc,calibrated,jtc / calibrated,68.0,3.0,1.0
2026-04-17T23-21-29__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep9.json,jtc,miscalibrated,jtc / miscalibrated,83.0,2.0,0.0
2026-04-17T23-28-33__openai_gpt_5_4__nonjtc__miscalibrated__sequence_2__rep5.json,nonjtc,miscalibrated,nonjtc / miscalibrated,38.0,4.0,1.0
2026-04-17T23-25-10__openai_gpt_5_4__nonjtc__calibrated__sequence_2__rep7.json,nonjtc,calibrated,nonjtc / calibrated,34.0,4.0,1.0
2026-04-17T23-21-10__openai_gpt_5_4__jtc__miscalibrated__sequence_2__rep5.json,jtc,miscalibrated,jtc / miscalibrated,83.0,2.0,0.0
2026-04-17T23-17-57__openai_gpt_5_4__jtc__calibrated__sequence_1__rep5.json,jtc,calibrated,jtc / calibrated,74.0,3.0,1.0
2026-04-17T23-21-47__openai_gpt_5_4__nonjtc__calibrated__sequence_1__rep1.json,nonjtc,calibrated,nonjtc / calibrated,38.0,5.0,1.0
