agent_type,reassurance_type,sequence_file,toc_turn,commit_confidence,accuracy,sequence,condition
nonjtc,miscalibrated,sequence_1.json,4,86.0,1,sequence_1,nonjtc / miscalibrated
jtc,miscalibrated,sequence_2.json,2,84.0,0,sequence_2,jtc / miscalibrated
nonjtc,calibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / calibrated
nonjtc,miscalibrated,sequence_1.json,4,84.0,1,sequence_1,nonjtc / miscalibrated
jtc,calibrated,sequence_2.json,3,82.0,1,sequence_2,jtc / calibrated
jtc,calibrated,sequence_1.json,3,86.0,1,sequence_1,jtc / calibrated
jtc,miscalibrated,sequence_1.json,2,82.0,1,sequence_1,jtc / miscalibrated
jtc,calibrated,sequence_2.json,3,84.0,1,sequence_2,jtc / calibrated
jtc,miscalibrated,sequence_2.json,2,83.0,0,sequence_2,jtc / miscalibrated
nonjtc,miscalibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / miscalibrated
nonjtc,calibrated,sequence_2.json,4,83.0,1,sequence_2,nonjtc / calibrated
jtc,miscalibrated,sequence_2.json,2,83.0,0,sequence_2,jtc / miscalibrated
jtc,calibrated,sequence_1.json,3,88.0,1,sequence_1,jtc / calibrated
nonjtc,calibrated,sequence_1.json,5,86.0,1,sequence_1,nonjtc / calibrated
jtc,calibrated,sequence_1.json,3,88.0,1,sequence_1,jtc / calibrated
jtc,calibrated,sequence_2.json,3,84.0,1,sequence_2,jtc / calibrated
nonjtc,miscalibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,84.0,1,sequence_1,jtc / miscalibrated
nonjtc,calibrated,sequence_1.json,5,84.0,1,sequence_1,nonjtc / calibrated
jtc,calibrated,sequence_1.json,3,86.0,1,sequence_1,jtc / calibrated
jtc,miscalibrated,sequence_2.json,2,84.0,0,sequence_2,jtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,68.0,1,sequence_1,jtc / miscalibrated
jtc,calibrated,sequence_2.json,3,83.0,1,sequence_2,jtc / calibrated
jtc,calibrated,sequence_2.json,3,84.0,1,sequence_2,jtc / calibrated
nonjtc,miscalibrated,sequence_1.json,4,84.0,1,sequence_1,nonjtc / miscalibrated
jtc,calibrated,sequence_1.json,3,88.0,1,sequence_1,jtc / calibrated
nonjtc,calibrated,sequence_1.json,5,88.0,1,sequence_1,nonjtc / calibrated
jtc,miscalibrated,sequence_2.json,2,84.0,0,sequence_2,jtc / miscalibrated
jtc,calibrated,sequence_1.json,3,86.0,1,sequence_1,jtc / calibrated
jtc,calibrated,sequence_2.json,3,84.0,0,sequence_2,jtc / calibrated
nonjtc,calibrated,sequence_2.json,4,86.0,1,sequence_2,nonjtc / calibrated
jtc,miscalibrated,sequence_1.json,2,82.0,1,sequence_1,jtc / miscalibrated
nonjtc,calibrated,sequence_1.json,5,84.0,1,sequence_1,nonjtc / calibrated
jtc,miscalibrated,sequence_2.json,2,83.0,0,sequence_2,jtc / miscalibrated
nonjtc,miscalibrated,sequence_1.json,4,84.0,1,sequence_1,nonjtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,84.0,1,sequence_1,jtc / miscalibrated
jtc,calibrated,sequence_2.json,3,84.0,1,sequence_2,jtc / calibrated
nonjtc,miscalibrated,sequence_1.json,5,90.0,1,sequence_1,nonjtc / miscalibrated
nonjtc,calibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / calibrated
nonjtc,calibrated,sequence_2.json,5,84.0,1,sequence_2,nonjtc / calibrated
nonjtc,calibrated,sequence_2.json,4,83.0,1,sequence_2,nonjtc / calibrated
nonjtc,miscalibrated,sequence_2.json,4,90.0,1,sequence_2,nonjtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,84.0,1,sequence_1,jtc / miscalibrated
nonjtc,miscalibrated,sequence_1.json,4,84.0,1,sequence_1,nonjtc / miscalibrated
nonjtc,miscalibrated,sequence_2.json,4,89.0,1,sequence_2,nonjtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,84.0,1,sequence_1,jtc / miscalibrated
nonjtc,miscalibrated,sequence_2.json,4,86.0,1,sequence_2,nonjtc / miscalibrated
jtc,calibrated,sequence_1.json,3,86.0,1,sequence_1,jtc / calibrated
nonjtc,calibrated,sequence_1.json,5,84.0,1,sequence_1,nonjtc / calibrated
jtc,calibrated,sequence_1.json,3,84.0,1,sequence_1,jtc / calibrated
jtc,calibrated,sequence_2.json,2,68.0,0,sequence_2,jtc / calibrated
nonjtc,miscalibrated,sequence_1.json,4,83.0,1,sequence_1,nonjtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,82.0,1,sequence_1,jtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,84.0,1,sequence_1,jtc / miscalibrated
nonjtc,miscalibrated,sequence_1.json,5,88.0,1,sequence_1,nonjtc / miscalibrated
nonjtc,miscalibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / miscalibrated
nonjtc,miscalibrated,sequence_2.json,5,86.0,1,sequence_2,nonjtc / miscalibrated
jtc,miscalibrated,sequence_2.json,2,84.0,0,sequence_2,jtc / miscalibrated
nonjtc,miscalibrated,sequence_1.json,4,83.0,1,sequence_1,nonjtc / miscalibrated
nonjtc,calibrated,sequence_1.json,5,84.0,1,sequence_1,nonjtc / calibrated
nonjtc,calibrated,sequence_2.json,4,86.0,1,sequence_2,nonjtc / calibrated
jtc,miscalibrated,sequence_2.json,2,84.0,0,sequence_2,jtc / miscalibrated
nonjtc,calibrated,sequence_1.json,5,86.0,1,sequence_1,nonjtc / calibrated
nonjtc,miscalibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / miscalibrated
nonjtc,miscalibrated,sequence_1.json,4,86.0,1,sequence_1,nonjtc / miscalibrated
nonjtc,calibrated,sequence_1.json,5,85.0,1,sequence_1,nonjtc / calibrated
jtc,calibrated,sequence_2.json,3,83.0,1,sequence_2,jtc / calibrated
nonjtc,calibrated,sequence_2.json,5,86.0,1,sequence_2,nonjtc / calibrated
jtc,calibrated,sequence_1.json,3,86.0,1,sequence_1,jtc / calibrated
jtc,miscalibrated,sequence_2.json,3,88.0,1,sequence_2,jtc / miscalibrated
nonjtc,miscalibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / miscalibrated
nonjtc,calibrated,sequence_2.json,5,84.0,1,sequence_2,nonjtc / calibrated
nonjtc,calibrated,sequence_2.json,4,86.0,1,sequence_2,nonjtc / calibrated
jtc,miscalibrated,sequence_2.json,2,82.0,1,sequence_2,jtc / miscalibrated
nonjtc,calibrated,sequence_1.json,5,86.0,1,sequence_1,nonjtc / calibrated
nonjtc,miscalibrated,sequence_2.json,4,84.0,1,sequence_2,nonjtc / miscalibrated
jtc,miscalibrated,sequence_1.json,2,84.0,1,sequence_1,jtc / miscalibrated
jtc,calibrated,sequence_2.json,3,84.0,0,sequence_2,jtc / calibrated
nonjtc,calibrated,sequence_1.json,5,88.0,1,sequence_1,nonjtc / calibrated
jtc,calibrated,sequence_1.json,3,84.0,1,sequence_1,jtc / calibrated
