condition,sequence,accuracy,mean,count,std
jtc / calibrated,sequence_1,1,86.2,10,1.4757295747452441
jtc / calibrated,sequence_2,0,78.66666666666667,3,9.237604307034012
jtc / calibrated,sequence_2,1,83.42857142857143,7,0.7867957924694429
jtc / miscalibrated,sequence_1,1,81.8,10,4.939635614091385
jtc / miscalibrated,sequence_2,0,83.625,8,0.5175491695067659
jtc / miscalibrated,sequence_2,1,85.0,2,4.242640687119285
nonjtc / calibrated,sequence_1,1,85.5,10,1.5811388300841893
nonjtc / calibrated,sequence_2,1,84.6,10,1.264911064067352
nonjtc / miscalibrated,sequence_1,1,85.2,10,2.299758441421379
nonjtc / miscalibrated,sequence_2,1,85.5,10,2.273030282830975
