condition,sequence,toc_turn,mean,count
jtc / calibrated,sequence_1,3,86.2,10
jtc / calibrated,sequence_2,2,68.0,1
jtc / calibrated,sequence_2,3,83.55555555555556,9
jtc / miscalibrated,sequence_1,2,81.8,10
jtc / miscalibrated,sequence_2,2,83.44444444444444,9
jtc / miscalibrated,sequence_2,3,88.0,1
nonjtc / calibrated,sequence_1,5,85.5,10
nonjtc / calibrated,sequence_2,4,84.57142857142857,7
nonjtc / calibrated,sequence_2,5,84.66666666666667,3
nonjtc / miscalibrated,sequence_1,4,84.25,8
nonjtc / miscalibrated,sequence_1,5,89.0,2
nonjtc / miscalibrated,sequence_2,4,85.44444444444444,9
nonjtc / miscalibrated,sequence_2,5,86.0,1
