agent_type,reassurance_type,reassurance_delivery_style,n,mean_volatility,sem_volatility,mean_toc,sem_toc,mean_es,sem_es,mean_accuracy
jtc,calibrated,brief_naturalistic,20,14.825,0.862004582693616,3.4,0.11239029738980327,2.4,0.11239029738980327,1.0
jtc,calibrated,confidence_focused,20,12.7,0.20326285807713174,3.0,0.0,2.0,0.0,1.0
jtc,calibrated,process_focused,20,13.075,0.2975226660980727,3.0,0.0,2.0,0.0,1.0
jtc,calibrated,warm_supportive,19,13.131578947368421,0.17455919949238943,3.0,0.0,2.0,0.0,0.8421052631578947
jtc,miscalibrated,brief_naturalistic,20,20.55,1.356223471726971,2.5,0.11470786693528086,1.5,0.11470786693528086,0.6
jtc,miscalibrated,confidence_focused,20,15.3,0.7689706037773383,2.85,0.08191780219091253,1.85,0.08191780219091253,0.8
jtc,miscalibrated,process_focused,20,14.75,0.5695104083887825,2.95,0.04999999999999999,1.95,0.05000000000000001,0.55
jtc,miscalibrated,warm_supportive,20,14.5,0.41989973740606723,2.85,0.08191780219091253,1.85,0.08191780219091253,0.65
nonjtc,calibrated,brief_naturalistic,20,17.764166666666664,0.5723033319850318,4.85,0.13128915456069917,3.85,0.13128915456069917,1.0
nonjtc,calibrated,confidence_focused,20,15.791666666666666,0.5457163059225073,5.4,0.15217718205053643,4.4,0.15217718205053643,1.0
nonjtc,calibrated,process_focused,20,17.086666666666666,0.6539864261695614,5.0,0.14509525002200233,4.0,0.14509525002200233,1.0
nonjtc,calibrated,warm_supportive,20,18.75,0.5336279339856793,4.65,0.1094243309804831,3.65,0.10942433098048311,1.0
nonjtc,miscalibrated,brief_naturalistic,20,19.358333333333334,0.6292429081260277,4.55,0.11413288653790232,3.55,0.11413288653790232,1.0
nonjtc,miscalibrated,confidence_focused,20,20.083333333333336,0.6541310471920629,4.45,0.11413288653790232,3.45,0.11413288653790232,1.0
nonjtc,miscalibrated,process_focused,20,20.820833333333333,0.519019649145223,4.3,0.10513149660756936,3.3,0.10513149660756936,1.0
nonjtc,miscalibrated,warm_supportive,20,17.679166666666667,0.4120478649167547,4.85,0.08191780219091252,3.85,0.08191780219091253,1.0
