model_name,sequence_name,measure,effect,sum_sq,df,F,p_value,n
anthropic/claude-opus-4.6,sequence_1,ES,C(agent_type),0.9000000000000075,1.0,13.500000000000112,0.0007707223322376253,40
anthropic/claude-opus-4.6,sequence_1,ES,C(reassurance_type),0.9000000000000059,1.0,13.500000000000089,0.0007707223322376324,40
anthropic/claude-opus-4.6,sequence_1,ES,C(agent_type):C(reassurance_type),0.899999999999999,1.0,13.499999999999986,0.0007707223322376621,40
anthropic/claude-opus-4.6,sequence_1,TOC,C(agent_type),0.9000000000000171,1.0,13.500000000000256,0.0007707223322375831,40
anthropic/claude-opus-4.6,sequence_1,TOC,C(reassurance_type),0.9000000000000156,1.0,13.500000000000233,0.0007707223322375885,40
anthropic/claude-opus-4.6,sequence_1,TOC,C(agent_type):C(reassurance_type),0.8999999999999857,1.0,13.499999999999783,0.0007707223322377218,40
anthropic/claude-opus-4.6,sequence_1,Accuracy,C(agent_type),4.505516653537241e-31,1.0,1.2652993972123792,0.2680945134842631,40
anthropic/claude-opus-4.6,sequence_1,Accuracy,C(reassurance_type),1.4794700322312593e-31,1.0,0.4154845457082758,0.5232852224513531,40
anthropic/claude-opus-4.6,sequence_1,Accuracy,C(agent_type):C(reassurance_type),7.703719777548945e-33,1.0,0.021634615384615388,0.8838839342151317,40
anthropic/claude-opus-4.6,sequence_2,ES,C(agent_type),1.0116315585347879e-29,1.0,0.5630028376330726,0.45792917626399904,40
anthropic/claude-opus-4.6,sequence_2,ES,C(reassurance_type),1.8583837667726683e-31,1.0,0.0103424544764068,0.9195608396399698,40
anthropic/claude-opus-4.6,sequence_2,ES,C(agent_type):C(reassurance_type),4.9303806576313255e-31,1.0,0.02743902439024391,0.8693612927906224,40
anthropic/claude-opus-4.6,sequence_2,TOC,C(agent_type),4.2054863842103433e-29,1.0,1.305572409598993,0.2607402989258005,40
anthropic/claude-opus-4.6,sequence_2,TOC,C(reassurance_type),4.4841432923243175e-29,1.0,1.3920800659651371,0.24579226004568566,40
anthropic/claude-opus-4.6,sequence_2,TOC,C(agent_type):C(reassurance_type),1.7749370367472768e-29,1.0,0.5510204081632654,0.4627171876298423,40
anthropic/claude-opus-4.6,sequence_2,Accuracy,C(agent_type),1.0486157225166682e-30,1.0,2.318990268012234,0.13678797265509718,39
anthropic/claude-opus-4.6,sequence_2,Accuracy,C(reassurance_type),7.818511914223538e-31,1.0,1.7290464609769276,0.19708351817657502,39
anthropic/claude-opus-4.6,sequence_2,Accuracy,C(agent_type):C(reassurance_type),1.6864900053553092e-32,1.0,0.03729635008840616,0.8479792788842191,39
openai/gpt-5.4,sequence_1,ES,C(agent_type),44.09999999999999,1.0,992.2499999999995,8.390086388782454e-28,40
openai/gpt-5.4,sequence_1,ES,C(reassurance_type),8.099999999999993,1.0,182.24999999999983,1.1747745139243648e-15,40
openai/gpt-5.4,sequence_1,ES,C(agent_type):C(reassurance_type),0.1000000000000004,1.0,2.250000000000009,0.14233419932261673,40
openai/gpt-5.4,sequence_1,TOC,C(agent_type),44.1,1.0,992.25,8.390086388782398e-28,40
openai/gpt-5.4,sequence_1,TOC,C(reassurance_type),8.100000000000014,1.0,182.25000000000028,1.1747745139243195e-15,40
openai/gpt-5.4,sequence_1,TOC,C(agent_type):C(reassurance_type),0.09999999999999944,1.0,2.249999999999987,0.1423341993226186,40
openai/gpt-5.4,sequence_1,Accuracy,C(agent_type),4.505516653537241e-31,1.0,1.2652993972123792,0.2680945134842631,40
openai/gpt-5.4,sequence_1,Accuracy,C(reassurance_type),1.4794700322312593e-31,1.0,0.4154845457082758,0.5232852224513531,40
openai/gpt-5.4,sequence_1,Accuracy,C(agent_type):C(reassurance_type),7.703719777548945e-33,1.0,0.021634615384615388,0.8838839342151317,40
openai/gpt-5.4,sequence_2,ES,C(agent_type),28.900000000000016,1.0,216.75000000000017,8.26540754133976e-17,40
openai/gpt-5.4,sequence_2,ES,C(reassurance_type),2.499999999999996,1.0,18.749999999999975,0.00011381725682240277,40
openai/gpt-5.4,sequence_2,ES,C(agent_type):C(reassurance_type),0.9000000000000016,1.0,6.750000000000012,0.013498937142693191,40
openai/gpt-5.4,sequence_2,TOC,C(agent_type),28.899999999999995,1.0,216.75,8.265407541339874e-17,40
openai/gpt-5.4,sequence_2,TOC,C(reassurance_type),2.5,1.0,18.75,0.0001138172568224017,40
openai/gpt-5.4,sequence_2,TOC,C(agent_type):C(reassurance_type),0.9000000000000016,1.0,6.7500000000000115,0.013498937142693193,40
openai/gpt-5.4,sequence_2,Accuracy,C(agent_type),3.024999999999997,1.0,29.432432432432403,4.077355830545749e-06,40
openai/gpt-5.4,sequence_2,Accuracy,C(reassurance_type),0.6250000000000008,1.0,6.081081081081089,0.01856132885255402,40
openai/gpt-5.4,sequence_2,Accuracy,C(agent_type):C(reassurance_type),0.6249999999999997,1.0,6.081081081081078,0.018561328852554133,40
x-ai/grok-4-fast,sequence_1,ES,C(agent_type),7.2250000000000165,1.0,27.378947368421116,7.3707447119714745e-06,40
x-ai/grok-4-fast,sequence_1,ES,C(reassurance_type),3.024999999999998,1.0,11.463157894736835,0.0017285073661216155,40
x-ai/grok-4-fast,sequence_1,ES,C(agent_type):C(reassurance_type),4.224999999999996,1.0,16.01052631578946,0.0003003293592344689,40
x-ai/grok-4-fast,sequence_1,TOC,C(agent_type),7.225000000000026,1.0,27.37894736842115,7.370744711971397e-06,40
x-ai/grok-4-fast,sequence_1,TOC,C(reassurance_type),3.025000000000016,1.0,11.463157894736902,0.001728507366121567,40
x-ai/grok-4-fast,sequence_1,TOC,C(agent_type):C(reassurance_type),4.224999999999973,1.0,16.01052631578937,0.0003003293592344787,40
x-ai/grok-4-fast,sequence_1,Accuracy,C(agent_type),1.0073384547537707e-31,1.0,0.3150613494912346,0.5783829570567962,37
x-ai/grok-4-fast,sequence_1,Accuracy,C(reassurance_type),8.118142999939808e-31,1.0,2.5390801640239684,0.12059405663851629,37
x-ai/grok-4-fast,sequence_1,Accuracy,C(agent_type):C(reassurance_type),5.723324043651648e-31,1.0,1.7900619084469314,0.19006599284694323,37
x-ai/grok-4-fast,sequence_2,ES,C(agent_type),0.400000000000003,1.0,3.428571428571454,0.0722934953832321,40
x-ai/grok-4-fast,sequence_2,ES,C(reassurance_type),2.499999999999997,1.0,21.428571428571402,4.6394476034643795e-05,40
x-ai/grok-4-fast,sequence_2,ES,C(agent_type):C(reassurance_type),0.4000000000000004,1.0,3.428571428571432,0.072293495383233,40
x-ai/grok-4-fast,sequence_2,TOC,C(agent_type),0.4000000000000066,1.0,3.428571428571485,0.07229349538323086,40
x-ai/grok-4-fast,sequence_2,TOC,C(reassurance_type),2.4999999999999822,1.0,21.428571428571274,4.6394476034645605e-05,40
x-ai/grok-4-fast,sequence_2,TOC,C(agent_type):C(reassurance_type),0.40000000000000424,1.0,3.428571428571465,0.0722934953832317,40
x-ai/grok-4-fast,sequence_2,Accuracy,C(agent_type),1.7136992116503805e-30,1.0,9.885288346720984,0.0036580599225908106,35
x-ai/grok-4-fast,sequence_2,Accuracy,C(reassurance_type),5.574413051611006e-32,1.0,0.32155398102699123,0.5747587807399276,35
x-ai/grok-4-fast,sequence_2,Accuracy,C(agent_type):C(reassurance_type),1.4907880934710772e-32,1.0,0.08599449697842637,0.7712866520385082,35
