agent,reassurance,turn,confidence_mean,confidence_sem,n
jtc,calibrated,1,30.0,4.114160399094047,20
jtc,calibrated,2,59.0,0.8765962882830265,20
jtc,calibrated,3,81.05,1.1663596087151276,20
jtc,calibrated,4,90.0,1.2909944487358058,6
jtc,miscalibrated,1,39.9,4.54561674351758,20
jtc,miscalibrated,2,65.2,1.3467309347179621,20
jtc,miscalibrated,3,86.2,0.40781832900653714,20
nonjtc,calibrated,1,19.25,1.7545054783853513,20
nonjtc,calibrated,2,24.8,1.6821039457211096,20
nonjtc,calibrated,3,52.1,1.809187081187803,20
nonjtc,calibrated,4,71.45,1.1997258458761142,20
nonjtc,calibrated,5,85.4,0.9043753296293001,20
nonjtc,calibrated,6,88.5,1.4999999999999998,2
nonjtc,miscalibrated,1,17.4,0.4129483209670112,20
nonjtc,miscalibrated,2,25.2,0.8258966419340223,20
nonjtc,miscalibrated,3,48.05,2.762031098571065,20
nonjtc,miscalibrated,4,72.7,2.7009744830143685,20
nonjtc,miscalibrated,5,83.0,1.9158104473902606,14
nonjtc,miscalibrated,6,87.5,1.4999999999999998,2
